District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
PA-05,Mary Gay Scanlon,(D),"263,644","137,678","404,738",65.1%,34.0%
PA-06,Chrissy Houlahan,(D),"232,017","170,600","407,525",56.9%,41.9%
PA-07,Susan Wild,(D),"199,283","180,774","384,606",51.8%,47.0%
PA-08,Matt Cartwright,(D),"168,613","184,363","356,564",47.3%,51.7%
PA-09,Dan Meuser,(R),"122,523","232,115","359,619",34.1%,64.5%
PA-10,Scott Perry,(R),"189,803","201,367","396,974",47.8%,50.7%
PA-11,Lloyd Smucker,(R),"148,521","233,074","387,414",38.3%,60.2%
PA-12,Fred Keller,(R),"107,798","232,392","345,181",31.2%,67.3%
PA-13,John Joyce,(R),"100,543","264,266","369,191",27.2%,71.6%
PA-14,Guy Reschenthaler,(R),"135,824","240,206","380,075",35.7%,63.2%
PA-15,Glenn Thompson,(R),"96,863","250,545","351,941",27.5%,71.2%
PA-16,Mike Kelly,(R),"145,265","213,031","363,010",40.0%,58.7%
PA-17,Conor Lamb,(D),"221,505","209,637","436,600",50.7%,48.0%
PA-18,Mike Doyle,(D),"252,860","134,833","392,002",64.5%,34.4%
RI-01,David Cicilline,(D),"154,430","83,607","241,561",63.9%,34.6%
RI-02,Jim Langevin,(D),"153,056","116,315","273,437",56.0%,42.5%
SC-01,Nancy Mace,(R),"197,288","222,708","427,594",46.1%,52.1%
SC-02,Joe Wilson,(R),"158,948","200,210","364,935",43.6%,54.9%
SC-03,Jeff Duncan,(R),"102,331","228,058","335,118",30.5%,68.1%
SC-04,William Timmons,(R),"140,939","215,237","362,743",38.9%,59.3%
SC-05,Ralph Norman,(R),"150,853","211,989","367,759",41.0%,57.6%
SC-06,Jim Clyburn,(D),"194,414","92,192","290,095",67.0%,31.8%
